epoch,lr-Adam,step,train_AUC,train_AUCPR,train_BinaryAccuracy,train_F1,train_Precision,train_Recall,train_loss_epoch,train_loss_step,val_AUC,val_AUCPR,val_BinaryAccuracy,val_F1,val_Precision,val_Recall,val_loss
,0.0003548658439771202,0,,,,,,,,,,,,,,,
0,,24,,,,,,,,0.23132601380348206,,,,,,,
0,,49,,,,,,,,0.21193155646324158,,,,,,,
0,,74,,,,,,,,0.2550334930419922,,,,,,,
0,,99,,,,,,,,0.20405185222625732,,,,,,,
0,,124,,,,,,,,0.1914876401424408,,,,,,,
0,,149,,,,,,,,0.2309921234846115,,,,,,,
0,,174,,,,,,,,0.30485907196998596,,,,,,,
0,,199,,,,,,,,0.2933623194694519,,,,,,,
0,,224,,,,,,,,0.21449480950832367,,,,,,,
0,,249,,,,,,,,0.23225907981395721,,,,,,,
0,,274,,,,,,,,0.20137181878089905,,,,,,,
0,,299,,,,,,,,0.31891876459121704,,,,,,,
0,,324,,,,,,,,0.2868661880493164,,,,,,,
0,,349,,,,,,,,0.28517642617225647,,,,,,,
0,,374,,,,,,,,0.2139757126569748,,,,,,,
0,,399,,,,,,,,0.38438594341278076,,,,,,,
0,,424,,,,,,,,0.30703005194664,,,,,,,
0,,449,,,,,,,,0.27331477403640747,,,,,,,
0,,474,,,,,,,,0.2165195643901825,,,,,,,
0,,499,,,,,,,,0.21105420589447021,,,,,,,
0,,524,,,,,,,,0.21735480427742004,,,,,,,
0,,549,,,,,,,,0.22264337539672852,,,,,,,
0,,574,,,,,,,,0.23274433612823486,,,,,,,
0,,599,,,,,,,,0.1617596447467804,,,,,,,
0,,624,,,,,,,,0.15209758281707764,,,,,,,
0,,649,,,,,,,,0.1963547319173813,,,,,,,
0,,674,,,,,,,,0.21270032227039337,,,,,,,
0,,674,,,,,,,,,0.8065911531448364,0.3585931062698364,0.9499217867851257,0.0,0.0,0.0,0.1609548181295395
0,,674,0.6767305135726929,0.1740582436323166,0.9341485500335693,0.0,0.0,0.0,0.2366110235452652,,,,,,,,
,0.0003548658439771202,675,,,,,,,,,,,,,,,
1,,699,,,,,,,,0.16086186468601227,,,,,,,
1,,724,,,,,,,,0.20523498952388763,,,,,,,
1,,749,,,,,,,,0.21613256633281708,,,,,,,
1,,774,,,,,,,,0.1913599669933319,,,,,,,
1,,799,,,,,,,,0.1575700342655182,,,,,,,
1,,824,,,,,,,,0.21406428515911102,,,,,,,
1,,849,,,,,,,,0.2933710813522339,,,,,,,
1,,874,,,,,,,,0.2611733675003052,,,,,,,
1,,899,,,,,,,,0.2053322046995163,,,,,,,
1,,924,,,,,,,,0.18405883014202118,,,,,,,
1,,949,,,,,,,,0.17506420612335205,,,,,,,
1,,974,,,,,,,,0.29194098711013794,,,,,,,
1,,999,,,,,,,,0.28554660081863403,,,,,,,
1,,1024,,,,,,,,0.23286905884742737,,,,,,,
1,,1049,,,,,,,,0.18794433772563934,,,,,,,
1,,1074,,,,,,,,0.33582568168640137,,,,,,,
1,,1099,,,,,,,,0.2652915418148041,,,,,,,
1,,1124,,,,,,,,0.2449461817741394,,,,,,,
1,,1149,,,,,,,,0.18141841888427734,,,,,,,
